id,codigo,bairro,area_m2,lon,lat,area_km2
35,191,TAMARINEIRA,1012834.6145754029,290323.12621553056,9111830.191451645,1.012834614575403
36,809,BONGI,602876.986584777,288572.2532842149,9107912.430880021,0.6028769865847771
37,728,CIDADE UNIVERSITARIA,1598721.7743332142,285071.66013749654,9109372.413903076,1.598721774333214
38,272,TORREAO,195971.50708503326,292427.33273088065,9110765.483245876,0.19597150708503325
39,159,JAQUEIRA,244527.75000381953,290057.37793738424,9111095.02483392,0.24452775000381952
40,841,CACOTE,462276.1191354893,287173.1763916246,9104024.840028375,0.46227611913548927
41,213,IPSEP,1769757.422790168,288253.64752023167,9103058.84675688,1.769757422790168
42,361,PORTO DA MADEIRA,478129.7892610806,291683.021861153,9114407.044441119,0.47812978926108063
44,221,JORDAO,1562008.9824125199,286607.5589240854,9100184.449611934,1.5620089824125198
45,663,PRADO,1281510.2880338063,288770.7730301248,9108559.276802083,1.2815102880338063
46,590,DOIS IRMAOS,5636068.160258106,285368.7547563099,9114490.107691236,5.636068160258106
47,647,MADALENA,1803674.5619029268,289697.1757530144,9109212.492962098,1.8036745619029269
48,116,SOLEDADE,322415.9302121256,291707.24414374784,9108936.588501714,0.3224159302121256
49,701,TORROES,1651615.6954021049,286585.1518370011,9108391.111789139,1.6516156954021048
50,698,IPUTINGA,4361473.95683107,286612.6744190795,9111192.534060802,4.36147395683107
51,817,SAN MARTIN,2003059.756727515,287406.38612051884,9107529.597060228,2.0030597567275152
52,400,PASSARINHO,3926297.833400731,288252.452630371,9117443.561112525,3.926297833400731
53,868,JARDIM SAO PAULO,2581150.1469351565,285771.4744469894,9106124.42050203,2.5811501469351565
54,850,AREIAS,2416967.99657442,287137.30882459634,9104682.051036647,2.41696799657442
55,892,TEJIPIO,984454.3264670983,284261.0137448757,9105247.197489586,0.9844543264670983
56,680,CORDEIRO,3394440.8870718996,287606.98842581984,9109657.415714042,3.3944408870718994
57,876,BARRO,4416325.190031344,284944.2384816148,9104242.39850921,4.416325190031344
58,833,ESTANCIA,797748.6323199249,287270.04778234643,9105883.386349814,0.7977486323199249
59,345,FUNDAO,624510.8619594714,291566.710732108,9113639.707636496,0.6245108619594714
60,922,COQUEIRAL,538551.2726890474,283065.42602382693,9105530.725468691,0.5385512726890473
61,477,POCO,785614.715561111,288037.1967564451,9111274.835199969,0.785614715561111
62,744,CAXANGA,2463708.8485327596,284885.08279009507,9112188.365826922,2.4637088485327596
63,604,SITIO DOS PINTOS,2077885.8497833568,284133.63225327845,9113764.825098464,2.0778858497833568
64,370,BEBERIBE,489843.2741851497,290977.4324514716,9114636.188289428,0.4898432741851497
65,426,BOMBA DO HEMETERIO,434135.75518360385,290397.20448165893,9112899.999926236,0.43413575518360387
66,515,MANGABEIRA,286037.92162089254,290282.14285159117,9112508.148122553,0.28603792162089253
67,434,CASA AMARELA,1885016.413878547,288713.8879233319,9112319.732982956,1.885016413878547
68,388,LINHA DO TIRO,820199.8251346773,290031.8769118584,9114208.232294826,0.8201998251346774
69,175,ENCRUZILHADA,1016091.8930789686,291604.4289383867,9111266.952312948,1.0160918930789686
70,256,BRASILIA TEIMOSA,1466766.0077106345,293073.6310080603,9106380.970851926,1.4667660077106346
71,248,PINA,6632740.722357045,291292.6163200172,9104827.935450232,6.632740722357045
72,612,BREJO DA GUABIRABA,724219.15569972,286940.1650672703,9116010.114558116,0.7242191556997201
73,760,ILHA DO RETIRO,528214.2164426788,290089.73114795616,9108127.99576972,0.5282142164426789
74,787,MUSTARDINHA,631400.9146914985,288481.4266032523,9107300.238510855,0.6314009146914985
75,230,IBURA,10187462.794304948,287093.5591948166,9101916.763657173,10.187462794304949
76,540,ALTO JOSE BONIFACIO,569370.9513255627,289168.9126471232,9113735.439975128,0.5693709513255627
77,493,ALTO DO MANDU,251727.53648236525,287515.4274080543,9112780.33499258,0.25172753648236523
78,531,MORRO DA CONCEICAO,380832.64027189394,289017.9439796202,9113032.941998143,0.38083264027189395
79,523,ALTO JOSE DO PINHO,421711.49046224245,289668.8822236592,9112763.219188452,0.42171149046224243
80,558,VASCO DA GAMA,1606592.1800012882,288461.2497374925,9113883.398205113,1.6065921800012881
81,205,BOA VIAGEM,8338924.6113279285,290342.70041614136,9101077.69045916,8.33892461132793
82,949,ALTO SANTA TEREZINHA,306248.48534439056,289699.694258389,9113471.422659842,0.3062484853443906
83,582,MACAXEIRA,1247387.69550118,287223.9764417586,9113893.711409122,1.24738769550118
84,574,BREJO DE BEBERIBE,643495.9242467297,288015.8486209341,9115376.931843337,0.6434959242467297
85,566,NOVA DESCOBERTA,1825477.4509757373,287508.25138000445,9114666.5351263,1.8254774509757372
86,485,MONTEIRO,543198.3003540612,287375.96249382925,9112296.499722984,0.5431983003540611
87,280,CAMPO GRANDE,2210588.664751985,292842.2982446738,9111821.905894674,2.210588664751985
88,337,AGUA FRIA,1928914.6636436936,290971.81224515615,9113394.681291532,1.9289146636436936
89,264,IMBIRIBEIRA,6662202.513098866,289343.70306033455,9103573.365800187,6.662202513098865
90,825,JIQUIA,1705696.3986994284,287940.5868781057,9105854.747574696,1.7056963986994285
91,779,AFOGADOS,3385466.388815233,289357.66143798473,9106629.615735872,3.385466388815233
92,507,APIPUCOS,1265252.1299314178,286474.5531262822,9113126.005210547,1.2652521299314177
93,620,CORREGO DO JENIPAPO,570281.9922783255,286551.5655345066,9114915.612714589,0.5702819922783254
94,930,PONTO DE PARADA,185225.9975644586,291411.3900183291,9111960.64137367,0.18522599756445862
95,884,COHAB,4354247.490897032,284975.42288103455,9101579.299600765,4.354247490897032
